№ пп;Наименование  ;Группа товаров;Ед. изм. ;Количество; Цена за ед.изм., руб. РФ без учета НДС;Местонахождение;Сссылка на сайт размещения;Группа
146;Труба медная М1Л д.70х15х2500 мм;Инженерная сантехника;кг;702;договорная;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
147;Болт БСР 12*110 ГОСТ 28778-90 Ст.3;Метизы и крепеж;шт;1596;73,95;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
148;Модуль порошкового пожаротушения Тунгус-6 МПП(Н)-6-И-ГЭ-У2;Прочие материалы;шт;9;3 765,61;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
149;Болт анкерный 1.1 М36 L=1250;Метизы и крепеж;шт;35;430,48;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
150;Болт 1.1 М36*1500 Lрезьбы 150мм;Метизы и крепеж;шт;24;596,71;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
151;Отвод крутоизогнутый ст.20 Ду377*10;Инженерная сантехника;шт;2;7 377,82;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
152;Подшипник 2226 (N226);Запчасти;шт;2;5 512,96;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
153;Болт фундаментный исп.5 М36*1600 ГОСТ 24379;Метизы и крепеж;шт;8;860,18;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
154;Болт анкерный М10х60 с крюком;Метизы и крепеж;шт;692;25,96;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
155;Лист медный М1 0,5х600х1500 ДПРНМ;Лист;кг;19;договорная;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
156;Кран шаровый 2-ходовой R2015-2P5-S1;Инженерная сантехника;шт;2;5 644,71;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
157;Кран шаровый 2-ходовой R2025-4-S1;Инженерная сантехника;шт;2;5 454,17;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
158;Болт анкерный 1.1М36х1460  L=150;Метизы и крепеж;шт;7;479,75;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
159;Отвод 90 325х7 ГОСТ 17375-2001;Инженерная сантехника;шт;1;3 873,86;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
160;Кран шаровый 2-ходовой R2015-1P6-S1;Инженерная сантехника;шт;1;3 599,74;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
161;"Воздухоотводчик автомат Ду  1/2"" VAL TEC ник (прямой) 502";Инженерная сантехника;шт;16;500,32;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
162;Кабель коаксикальный 75 Ом РК75-4-15;Кабель, провод;м;200;33,43;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
163;Анкер-шпилька HAS-E M12*110/28;Метизы и крепеж;шт;44;52,56;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
164;Болт анкерный   1.1М16х600  L=70;Метизы и крепеж;шт;6;142,63;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
165;Болт анкерный   1.1М20х800  L=100;Метизы и крепеж;шт;3;207,47;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
166;Анкер клиновой 10х100;Метизы и крепеж;шт;50;42,8;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
167;Гайка К481 (3/4) УЗ;Вспомогательные материалы;шт;52;13,33;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
168;Гайка К482 (1) У3;Вспомогательные материалы;шт;16;16,65;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
169;Болт анкерный с гайкой 12*60 мм;Метизы и крепеж;шт;23;11,99;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
170;Анкер К675;Метизы и крепеж;шт;2;88,92;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
171;Модуль I-7021P CR 16-bit analog output module;Электротехнические материалы;шт;1;16 084,40;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
172;Кабель ОКА-М6П-А48-6,0;Кабель, провод;м;40;52,03;"г.Новокузнецк,ООО ""ЗСЭМЗ""";;Реализация ТМЦ
173;Стекло ветровое Maverick ;Запчасти к спецтехнике;шт;2;230 166,31;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/zapchasti_i_aksessuary/steklo_vetrovoe_can-am_maverick_xrs_turbo_3683897571;Реализация ТМЦ
174;FMP56-41N4/0 FMP56-AACCAANBB3GDE+AIPBZ1 Levelflex FMP56 Микроимпульсный уровнемер NB: 6.000 мм, трос;Приборы КИП и комплектующие;шт;1;60 452,99;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
175;Вентилятор канальный  ВКт 250;Вентиляционное оборудование и комплектующие;шт;1;1 874,58;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
176;Емкостной датчик Kapazitiver Naeherungsschalter KD5044 Германия;Приборы КИП и комплектующие;шт;4;2 886,72;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
177;Клапан балансир руч муфт с нип/дренаж MSV-BD Ду 40 Ру 20 Danfoss 003Z4005;Запорная арматура (задвижки, клапаны);шт;1;2 111,86;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
178;Комплект перех. 1х3/4 в блистере;Строительные/отделочные материалы;шт;40;57,38;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
179;Сифон для мойки СБУ;Сантехника;шт;17;46;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
180;"Сифон Элит для 2-ой мойки с нерж. чашк. с отв. с/м (11/2""40) d 1.5";Сантехника;шт;2;78,31;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
181;Тройник наружный 160х110х45;Запасные части общепромышленного назначения;шт;9;69,27;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
182;Тройник 57х3,5 стальной ГОСТ 17376-01;Запасные части общепромышленного назначения;шт;1;79,66;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
183;Комплект подключения к AHU KAH-01B;Строительные/отделочные материалы;шт;1;4 462,54;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
184;Раковина ARKITEKT 4047B003-0001 (белый);Сантехника;шт;24;628,81;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
185;Сифон ВМ1003 АНИ Юнг 1.1/4*32;Сантехника;шт;12;63,9;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
186;Отвод Ду377*8 ст20 ГОСТ 17375;Металлопрокат;шт;2;2 699,66;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
187;Отвод крутоизогнутый ДУ-108-3,5-4;Металлопрокат;шт;1;101;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
188;Тройник стальной 108*4;Металлопрокат;шт;2;159,13;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
189;Труба 273*6 ГОСТ 10705-80;Металлопрокат;т;0,574;договорная;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
190;Труба 377*6;Металлопрокат;т;0,147;договорная;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
191;Труба 377*8 ГОСТ 10705 ст09Г2С;Металлопрокат;т;0,275;договорная;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
192;Труба гофрированная DN17мм ПВ-0 Dвн=16,8мм Dнар=21,2мм;Запасные части общепромышленного назначения;м;19;28,34;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
193;Трубы стальные оцинкованные 80 *4,0 6000;Металлопрокат;т;0,385;договорная;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
194;Комплектное устройство управления Я5115-2974-29УХЛ4 380В, цепи управления 220В;Приборы КИП и комплектующие;шт;1;1 607,84;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
195;Комплектное устройство управления Я5135-2474-28УХЛ4 380В, цепи управления 220В;Приборы КИП и комплектующие;шт;1;2 219,71;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
196;РУСМ 5114-3174;Запасные части общепромышленного назначения;шт;1;1 125,42;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
197;Светильник ARS/S 418 4х18Вт IP20 (15641810);Светильники;шт;1;420;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
198;Тепловая завеса Антарес Универсал ПРО 1202А без нагрева;Вентиляционное оборудование и комплектующие;шт;17;11 197,30;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/bytovaya_tehnika/teplovaya_zavesa_antares_universal_pro_1202a_bez_na_3396258002;Реализация ТМЦ
199;Шкаф распределительный 380В, IP54, с выключателями АВВ: 1SDA070334R1, S803, S203;Низковольтное электротехническое оборудование;шт;1;19 120,00;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
200;Шкаф распределительный ПР8503-1161-54 УХЛ2(13/1582.4)(13/1582.4);Низковольтное электротехническое оборудование;шт;24;6 349,04;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
201;Шкаф распределительный ЩРО 8505-2614-Н УХЛЗ.1 (1);Низковольтное электротехническое оборудование;шт;2;3 400,00;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
202;Шкаф управления навесной IP54 АК-1 ч.088-ЭМ4.6 (КУ1);Низковольтное электротехническое оборудование;шт;1;2 761,56;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
203;ЩРО 8505-2409-Н УХЛ3 щит распределительный;Низковольтное электротехническое оборудование;шт;2;1 831,68;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
204;ЩРО 8505-4532;Низковольтное электротехническое оборудование;шт;1;2 944,91;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
205;ЩРО8505-4722;Низковольтное электротехническое оборудование;шт;1;9 763,48;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
206;Ящик протяжной, IP54 У654У2;Низковольтное электротехническое оборудование;шт;1;304,56;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
207;Ящик управления РУСМ 5115-2674;Низковольтное электротехническое оборудование;шт;2;2 623,79;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
208;Выключатель автоматический 3П 200А 400В 18 КА;Низковольтное электротехническое оборудование;шт;1;4 365,08;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/schit_raspredelitelnyy_3940367592;Реализация ТМЦ
209;Изовер;Окна, двери, кровельные материалы, плитка;шт;4;548,31;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
210;Источник бесперебойного питания/ИБП Скат-1200;Приборы КИП и комплектующие;шт;1;2 303,64;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
211;Кабельный органайзер NMC-OK600-2;Кабель и провод, наконечники для кабеля, муфты;шт;2;335,02;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
212;Плита для цоколя 300*150*20;Окна, двери, кровельные материалы, плитка; м2;40,95;1 237,38;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
213;Плита для цоколя 300*300*20;Окна, двери, кровельные материалы, плитка; м2;33,57;1 213,39;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
214;"Плитка тротуарная ""Класико 6""";Окна, двери, кровельные материалы, плитка; м2;11,24;632,96;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
215;Площадка 300*600*30мм;Окна, двери, кровельные материалы, плитка; м2;9;1 950,40;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/plitka_keramogranit_3908386257;Реализация ТМЦ
216;Прожектор 2700К СТ 1100000110;Светильники;шт;7;5 332,07;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
217;Прожектор LED12 3000К;Светильники;шт;8;2 680,93;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
218;Прожектор LED24 3000К;Светильники;шт;3;3 723,52;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
219;Прожектор светодиодный ДО-50Вт 6500К 3600Лм;Светильники;шт;1;292,45;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
220;Светильник BARRO 10 CT 1558000010;Светильники;шт;16;3 586,88;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
221;Светильник BARRO 7P CT 1558000040;Светильники;шт;1;2 869,50;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
222;Светильник LED 1200 4000К;Светильники;шт;1;1 640,38;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
223;Светильник LED 4000К;Светильники;шт;1;1 218,37;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
224;Светильник LED 5000К;Светильники;шт;2;2 533,44;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
225;Сигнал звуковой;Пожарное оборудование, приборы охранно-пожарной сигнализации ;шт;1;2 431,74;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
226;Труба гофрированная ПВХ 16мм с протяжкой;РТИ, РВД, АТИ;м;37;2,08;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
227;4 соединителя для кабеля А9ХРСМ04;Электротехнические материалы;упак;3;473,04;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
228;Индикатор NR7HP01;Запчасти;шт;2;1 846,85;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
229;Регулятор скорости вентилятора RTRD2 (3-, 2А) ;Запчасти;шт;1;17 658,21;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
230;Табло световое ТС-2-8 красное св.;Электротехнические материалы;шт;4;2 977,66;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
231;"Оповещатель световой пожарный Блик-С-24 (""ВЫХОД"", 24В)";Электротехнические материалы;шт;16;187,4;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
232;Амперметр EC72 /5A;Электротехнические материалы;шт;3;526,19;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
233;Амперметр А72 600А/5А-1,5;Измерительные приборы и устройства;шт;2;358,29;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
234;"Манометр радиальный Dn50мм 1/4""
(шкала до 1,0 Мпа), SIM-0010-501008";Инженерная сантехника;шт;7;233,75;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
235;Блок зажимов БЗ24-4п25-10;Электротехнические материалы;шт;4;56,59;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
236;Блок клапанный 1100-БКН-1-08;Электротехнические материалы;шт;2;1 536,33;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
237;Бобышка 1130 М20х1,5-сталь20;Запчасти;шт;1;132;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
238;Бобышка Эмис-Векта 1330-М20х1,5-сталь20;Запчасти;шт;1;145,2;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
239;Бобышка М27*2 50мм;Запчасти;шт;2;56,83;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
240;Втулка В 28;Вспомогательные материалы;шт;64;1,65;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
241;Втулка В 54;Вспомогательные материалы;шт;4;3,62;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
242;Заглушка ПП/РР 110;Инженерная сантехника;шт;1;15,01;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
243;"Муфта комбинированная для шланга РР 66*2"" М";Инженерная сантехника;шт;1;148,96;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
244;Тройник РР 110/110 87,5 гр.;Инженерная сантехника;шт;16;61,62;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
245;Тройник РР 50/50/87,5;Инженерная сантехника;шт;32;22,11;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
246;Тройник ПП 63мм;Инженерная сантехника;шт;2;64,32;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
247;Тройник ПП косой 45гр.Дн110-110-50;Инженерная сантехника;шт;7;35,75;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
248;Тройник ПП 110/50/87гр;Инженерная сантехника;шт;38;36,2;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
249;Труба с раструбом PP 110 750мм;Инженерная сантехника;шт;3;36,56;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
250;Труба с раструбом PP 110/1000;Инженерная сантехника;шт;1;143,8;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
251;Труба с раструбом PP 50 250мм;Инженерная сантехника;шт;3;29,64;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
252;Труба PP PN20 63мм;Инженерная сантехника;мп;30;219,12;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
253;Труба PPRC Ду20 PN20;Инженерная сантехника;м;10;22,31;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
254;Труба ПЭ100 SDR 17- 63*3,8 питьевая;Инженерная сантехника;м;20;68,23;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
255;Труба гофрированная ПВХ 50мм с протяжкой;Электротехнические материалы;м;25;30,55;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
256;Труба гофрированная ПЛЛ 32мм с протяжкой;Инженерная сантехника;м;50;86,85;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
257;Датчик ДТКБ-46 температуры;Электротехнические материалы;шт;1;469,88;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
258;Датчик ИД64И;Электротехнические материалы;шт;6;2 708,75;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
259;Датчик-реле температуры ДТКБ-44;Электротехнические материалы;шт;1;410,44;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
260;Датчик-реле температуры ДТКБ-49;Электротехнические материалы;шт;1;410,44;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
261;Датчик-реле температуры ДТКБ-51;Электротехнические материалы;шт;1;398,9;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
262;Термометр для помещений JUMO heatTHERM 603070/0001;Электротехнические материалы;шт;1;1 901,70;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
263;Термометр БТ-51-211 L=64 160град, G1/2;Инженерная сантехника;шт;4;589,42;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
264;Термопреобразователь сопротивления ТС-1088 -/1/ -/ Pt100/ -50/...+200/80/10/ В/АГ-10/С/ №3/ ГП;Прочие материалы;шт;1;926,75;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
265;Термопреобразователь сопротивления ТС-1088Л -/1/ -/ Pt100/ -50/...+200/80/10/ В/СП-1/С/№3/ ГП;Прочие материалы;шт;1;888,25;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
266;Держатель для труб d20мм ;Электротехнические материалы;шт;35;2,15;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
267;Заглушка/Колпачок пластиковый FEC 41 B для консолей и монтажных шин, арт. 77355 Fischer;Электротехнические материалы;шт;1;28,22;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
268;Колпачок изолирующий для разъема RJ-45;Электротехнические материалы;шт;96;1,82;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
269;Кабельный канал CD 60х60 3240193;Электротехнические материалы;шт;2;848,79;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
270;Кабель-канал 80х60;Электротехнические материалы;м;2;217,02;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
271;Пласт.ввод.кабел.панель R1581.000 5шт.;Расходные материалы на вычисл. и орг техник;упак;4;2 245,60;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
272;Сплиттер ADSL D-Link DSL-30CF/RS ADSL;Расходные материалы на вычисл. и орг техник;шт;1;148,04;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
273;Кольцо опорное КО-6 (0,02 м3);Строительные материалы;шт;2;258,19;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
274;Кольцо стеновое КЦ 7.9 (0.15 м3);Строительные материалы;шт;2;1 048,59;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
275;КЦД-15 Дно колодца;Прочие материалы;шт;2;1 214,58;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
276;КЦП 1-15-2, Крышка колодца;Прочие материалы;шт;1;1 960,21;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
277;Плита перекрытия КЦП 3-10;Прочие материалы;шт;1;1 445,28;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
278;Кольцо уплотнительное;Запчасти;шт;16;343,66;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
279;Кольцо уплотнительное Тайтон Ду 100;Инженерная сантехника;шт;12;95,18;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
280;Кольцо уплотнительное Тайтон Ду 150;Инженерная сантехника;шт;4;112,75;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
281;Кольцо уплотнительное Тайтон Ду 200;Инженерная сантехника;шт;24;154,32;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
282;Резиновое уплотнительное кольцо Ду100;Запчасти;шт;9;112,2;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
283;Лампа ДНАТ 400 Вт;Лампы, люстры, светильники;шт;29;235,57;"г.Новокузнецк, АО ""Регионстрой""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
284;Лента Л 207 (уп.25м);Сменное оборудование;упак;2;504,17;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
285;"Писсуар ""СЛАВУТА"" в комплекте (сифон, КРАН)";Инженерная сантехника;шт;1;481,82;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
286;Умывальник керамический (500х400) Россия;Инженерная сантехника;шт;4;696,21;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
287;"Чаша ""Генуя"" с сиф., рассеив.БЕЗ БАЧКА";Инженерная сантехника;шт;2;1 060,13;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
288;Шнур переходной FC/APC-LC/APC, 9/125, двойной, 2м;Электротехнические материалы;шт;2;140,02;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
289;Анкер-гильза HLC 10*65\25;Метизы и крепеж;шт;159;27,2;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
290;Анкер-шпилька HST3-R M12*115 40/20;Метизы и крепеж;шт;4;443,33;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
291;Болт БСР 10*100 ст3 ГОСТ 28778-90;Метизы и крепеж;шт;48;50,02;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
292;Болт БСР 12*110 ;Метизы и крепеж;шт;24;52,94;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
293;Болт с Т-образной головкой CLIx S 10*60, арт.20919 Fischer;Метизы и крепеж;шт;3;251,61;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
294;Болт фундаментный исп.2.1 М16*350 ГОСТ 24379.1-80;Метизы и крепеж;компл;16;307,96;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
295;Гайка монтажная АТССМГ-М12;Электротехнические материалы;шт;73;50,35;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
296;Гайка монтажная АТССМГ-М8;Электротехнические материалы;шт;153;36,16;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
297;Гильза алюминиевая ГА 16-5,4;Электротехнические материалы;шт;8;7,9;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
298;Гильза защитная 1300-1-08-120-15МПа-М20х1,5-12Х18Н10Т;Электротехнические материалы;шт;1;441;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
299;Держатель НЛ-Д;Электротехнические материалы;шт;1;69,2;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
300;Держатель плавкой вставки ДВП4-2В;Электротехнические материалы;шт;4;102,08;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
301;Держатель/распорка TS;Электротехнические материалы;шт;24;201,49;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
302;Деталь 6*460*100;Прочие материалы;шт;72;125,94;"г.Новокузнецк, АО ""Регионстрой""";;Реализация ТМЦ
